timestamp,day_of_week,dew_temperature_ma_24H,air_temperature,wind_speed_ma_24H,precip_depth_1_hr_ma_24H,sea_level_pressure_shift_10H,meter_reading_trend
2016-01-04 02:00:00,0,-7.483333333333337,-5.0,5.166666666666668,0.0,1027.2,89.47074999999998
2016-01-04 03:00:00,0,-7.462500000000003,-5.0,5.0583333333333345,0.0,1027.8,92.00891666666666
2016-01-04 05:00:00,0,-7.512500000000003,-6.1,4.8,0.0,1027.1,97.0741875
2016-01-04 06:00:00,0,-7.579166666666669,-6.7,4.7124999999999995,0.0,1027.3,99.02441666666667
2016-01-04 07:00:00,0,-7.670833333333337,-7.2,4.541666666666666,0.0,1027.5,100.4665
2016-01-04 08:00:00,0,-7.787500000000004,-7.8,4.370833333333333,0.0,1027.8,101.80160416666666
2016-01-04 10:00:00,0,-8.087500000000004,-8.9,3.9666666666666655,0.0,1028.5,103.98352083333333
2016-01-04 11:00:00,0,-8.295833333333338,-10.0,3.795833333333332,0.0,1028.8,104.69464583333333
2016-01-04 12:00:00,0,-8.529166666666672,-11.1,3.583333333333332,0.0,1029.2,105.17360416666666
2016-01-04 13:00:00,0,-8.78333333333334,-11.1,3.408333333333332,0.0,1029.4,105.60152083333332
2016-01-04 14:00:00,0,-9.037500000000007,-11.7,3.2791666666666655,0.0,1029.7,105.94454166666665
2016-01-04 15:00:00,0,-9.337500000000007,-12.2,3.129166666666666,0.0,1030.1,106.25777083333332
2016-01-04 16:00:00,0,-9.500000000000007,-10.6,2.9374999999999987,0.0,1030.4,106.56989583333333
2016-01-04 19:00:00,0,-9.775000000000007,-5.0,2.595833333333332,0.0,1031.9,107.51089583333331
2016-01-04 20:00:00,0,-9.79583333333334,-3.3,2.5749999999999984,0.0,1032.3,107.90141666666665
2016-01-04 21:00:00,0,-9.841666666666674,-3.9,2.6374999999999984,0.0,1032.7,108.34864583333332
2016-01-04 22:00:00,0,-9.912500000000007,-5.0,2.6791666666666654,0.0,1032.9,108.75291666666666
2016-01-04 23:00:00,0,-10.004166666666674,-6.7,2.720833333333332,0.0,1033.1,109.17152083333332
2016-01-05 01:00:00,1,-10.116666666666672,-7.2,2.8291666666666657,0.0,1034.0,109.83577083333333
2016-01-05 02:00:00,1,-10.162500000000007,-7.2,2.916666666666666,0.0,1034.5,110.03314583333332
2016-01-05 03:00:00,1,-10.183333333333339,-7.2,2.983333333333333,0.0,1034.8,110.28133333333332
2016-01-05 04:00:00,1,-10.15833333333334,-6.7,3.1125000000000003,0.0,1034.1,110.40418749999999
2016-01-05 05:00:00,1,-10.13333333333334,-6.7,3.2000000000000006,0.0,1033.1,110.36552083333333
2016-01-05 06:00:00,1,-10.112500000000006,-6.7,3.350000000000001,0.0,1032.5,110.3524375
2016-01-05 07:00:00,1,-10.091666666666674,-6.7,3.412500000000001,0.0,1032.5,110.32597916666666
2016-01-05 08:00:00,1,-10.066666666666674,-6.7,3.5833333333333344,0.0,1032.6,110.21285416666665
2016-01-05 09:00:00,1,-9.99583333333334,-5.6,3.754166666666668,0.0,1032.6,110.0988125
2016-01-05 10:00:00,1,-9.879166666666675,-5.0,3.9458333333333346,0.0,1032.3,110.04852083333333
2016-01-05 14:00:00,1,-9.112500000000008,-5.6,4.787500000000002,0.0,1030.0,109.34472916666667
2016-01-05 15:00:00,1,-8.904166666666674,-5.6,5.066666666666669,0.0,1029.3,109.17777083333334
2016-01-05 17:00:00,1,-8.625000000000009,-2.2,5.4333333333333345,0.0,1028.1,108.83083333333333
2016-01-05 18:00:00,1,-8.558333333333342,-1.1,5.625000000000001,0.0,1028.0,108.65424999999999
2016-01-05 19:00:00,1,-8.48750000000001,-0.6,5.816666666666667,0.0,1028.0,108.50706249999999
2016-01-05 20:00:00,1,-8.441666666666675,0.0,5.987500000000001,0.0,1027.4,108.33535416666666
2016-01-05 22:00:00,1,-8.300000000000006,-1.7,5.987500000000001,0.0,1026.6,107.80666666666666
2016-01-05 23:00:00,1,-8.208333333333341,-3.3,6.075,0.0,1026.1,107.51472916666667
2016-01-06 00:00:00,2,-8.141666666666675,-3.3,6.075,0.0,1025.4,107.24845833333333
2016-01-06 01:00:00,2,-8.116666666666674,-4.4,5.966666666666668,0.0,1024.8,106.81547916666666
2016-01-06 02:00:00,2,-8.04583333333334,-3.3,5.879166666666667,0.0,1024.3,106.38127083333332
2016-01-06 03:00:00,2,-8.000000000000005,-3.3,5.812500000000001,0.0,1023.9,106.08929166666667
2016-01-06 04:00:00,2,-7.979166666666672,-4.4,5.6208333333333345,0.0,1023.0,105.96577083333332
2016-01-06 05:00:00,2,-7.933333333333338,-3.9,5.512500000000002,0.0,1021.8,105.98685416666666
2016-01-06 06:00:00,2,-7.841666666666671,-3.3,5.341666666666669,0.0,1021.1,106.18562499999999
