timestamp,day_of_week,day_hour,dew_temperature_ma_24H,air_temperature,wind_speed_ma_24H,precip_depth_1_hr_ma_24H,sea_level_pressure_shift_10H,meter_reading
2016-01-02 00:00:00,5,0,-10.120833333333335,-3.3,4.737500000000001,-0.20833333333333334,1019.4,10.3292
2016-01-02 01:00:00,5,1,-9.97916666666667,-3.9,4.779166666666668,-0.16666666666666666,1018.9,10.3292
2016-01-02 02:00:00,5,2,-9.887500000000003,-5.0,4.862500000000001,-0.125,1017.9,9.8294
2016-01-02 03:00:00,5,3,-9.81666666666667,-5.6,4.883333333333334,-0.08333333333333333,1017.4,9.6628
2016-01-02 04:00:00,5,4,-9.766666666666671,-6.1,4.862500000000001,-0.08333333333333333,1017.1,9.163
2016-01-02 05:00:00,5,5,-9.74166666666667,-7.2,4.758333333333334,-0.08333333333333333,1016.0,10.3292
2016-01-02 06:00:00,5,6,-9.71666666666667,-7.2,4.583333333333334,-0.08333333333333333,1015.8,10.3292
2016-01-02 07:00:00,5,7,-9.74166666666667,-7.8,4.500000000000001,-0.041666666666666664,1016.4,8.9964
2016-01-02 08:00:00,5,8,-9.812500000000004,-8.9,4.500000000000001,-0.041666666666666664,1017.7,9.163
2016-01-02 09:00:00,5,9,-9.883333333333336,-8.9,4.458333333333334,0.0,1018.3,10.9956
2016-01-02 10:00:00,5,10,-9.858333333333336,-9.4,4.266666666666667,0.0,1019.2,6.9972
2016-01-02 11:00:00,5,11,-9.858333333333336,-9.4,4.245833333333334,0.0,1019.9,10.9956
2016-01-02 12:00:00,5,12,-9.837500000000004,-10.0,4.1625000000000005,0.0,1020.4,9.8294
2016-01-02 13:00:00,5,13,-9.837500000000004,-8.9,4.183333333333334,0.0,1020.4,9.6628
2016-01-02 14:00:00,5,14,-9.812500000000004,-8.9,4.204166666666667,0.0,1020.9,8.9964
2016-01-02 15:00:00,5,15,-9.812500000000004,-8.3,4.204166666666667,0.0,1020.9,12.3284
2016-01-02 16:00:00,5,16,-9.833333333333337,-6.7,4.116666666666666,0.0,1020.9,8.9964
2016-01-02 17:00:00,5,17,-9.858333333333336,-5.6,4.029166666666666,0.0,1020.9,8.9964
2016-01-02 18:00:00,5,18,-9.87916666666667,-2.8,4.008333333333333,0.0,1020.4,10.1626
2016-01-02 19:00:00,5,19,-9.90416666666667,-1.7,4.05,0.0,1020.7,7.6636
2016-01-02 20:00:00,5,20,-9.925000000000002,-1.1,3.941666666666666,0.0,1020.4,11.1622
2016-01-02 21:00:00,5,21,-9.945833333333336,-0.6,3.895833333333332,0.0,1019.5,11.662
2016-01-02 22:00:00,5,22,-9.945833333333336,-0.6,3.7874999999999983,0.0,1019.5,10.9956
2016-01-02 23:00:00,5,23,-9.945833333333336,-2.2,3.8541666666666656,0.0,1018.4,6.3308
2016-01-03 00:00:00,6,0,-9.945833333333336,-2.8,3.8749999999999987,0.0,1017.8,11.1622
2016-01-03 01:00:00,6,1,-9.970833333333337,-3.3,3.8541666666666656,0.0,1017.9,10.9956
2016-01-03 02:00:00,6,2,-9.970833333333337,-4.4,3.833333333333332,0.0,1017.2,9.6628
2016-01-03 03:00:00,6,3,-9.925000000000002,-3.3,3.941666666666666,0.0,1016.7,9.6628
2016-01-03 04:00:00,6,4,-9.87916666666667,-3.9,4.091666666666666,0.0,1015.5,10.4958
2016-01-03 05:00:00,6,5,-9.808333333333337,-4.4,4.2625,0.0,1015.1,8.9964
2016-01-03 06:00:00,6,6,-9.71666666666667,-3.9,4.458333333333333,0.0,1014.7,10.3292
2016-01-03 07:00:00,6,7,-9.575000000000005,-3.3,4.691666666666667,0.0,1014.5,11.662
2016-01-03 08:00:00,6,8,-9.412500000000003,-2.8,4.841666666666668,0.0,1015.2,8.9964
2016-01-03 09:00:00,6,9,-9.22916666666667,-2.8,4.945833333333334,0.0,1015.7,9.8294
2016-01-03 10:00:00,6,10,-9.045833333333336,-2.8,5.137500000000001,0.0,1016.2,10.9956
2016-01-03 11:00:00,6,11,-8.837500000000004,-3.3,5.266666666666668,0.0,1016.4,11.662
2016-01-03 12:00:00,6,12,-8.650000000000004,-2.8,5.350000000000001,0.0,1017.5,7.8302
2016-01-03 13:00:00,6,13,-8.44166666666667,-2.8,5.416666666666668,0.0,1017.9,12.3284
2016-01-03 14:00:00,6,14,-8.27916666666667,-2.8,5.500000000000001,0.0,1018.7,8.8298
2016-01-03 15:00:00,6,15,-8.095833333333337,-2.8,5.500000000000001,0.0,1019.4,9.163
2016-01-03 16:00:00,6,16,-7.958333333333337,-2.8,5.608333333333334,0.0,1019.9,10.9956
2016-01-03 17:00:00,6,17,-7.81666666666667,-2.2,5.695833333333334,0.0,1020.1,8.9964
2016-01-03 18:00:00,6,18,-7.7500000000000036,-2.2,5.695833333333334,0.0,1020.9,8.9964
2016-01-03 19:00:00,6,19,-7.70416666666667,-2.2,5.566666666666667,0.0,1022.0,10.3292
2016-01-03 20:00:00,6,20,-7.683333333333337,-2.8,5.525000000000001,0.0,1022.7,11.662
2016-01-03 21:00:00,6,21,-7.662500000000004,-2.8,5.483333333333334,0.0,1023.2,7.6636
2016-01-03 22:00:00,6,22,-7.61666666666667,-2.2,5.441666666666667,0.0,1023.9,9.8294
2016-01-03 23:00:00,6,23,-7.595833333333336,-2.8,5.312500000000001,0.0,1024.8,9.6628
2016-01-04 00:00:00,0,0,-7.575000000000003,-2.8,5.229166666666668,0.0,1025.5,11.662
2016-01-04 01:00:00,0,1,-7.5291666666666694,-3.9,5.208333333333335,0.0,1026.4,8.33
2016-01-04 02:00:00,0,2,-7.483333333333337,-5.0,5.166666666666668,0.0,1027.2,12.3284
2016-01-04 03:00:00,0,3,-7.462500000000003,-5.0,5.0583333333333345,0.0,1027.8,7.6636
2016-01-04 04:00:00,0,4,-7.487500000000003,-6.1,4.929166666666667,0.0,1027.4,10.4958
2016-01-04 05:00:00,0,5,-7.512500000000003,-6.1,4.8,0.0,1027.1,8.9964
2016-01-04 06:00:00,0,6,-7.579166666666669,-6.7,4.7124999999999995,0.0,1027.3,9.8294
2016-01-04 07:00:00,0,7,-7.670833333333337,-7.2,4.541666666666666,0.0,1027.5,22.9908
2016-01-04 08:00:00,0,8,-7.787500000000004,-7.8,4.370833333333333,0.0,1027.8,24.99
2016-01-04 10:00:00,0,10,-8.087500000000004,-8.9,3.9666666666666655,0.0,1028.5,20.9916
2016-01-04 11:00:00,0,11,-8.295833333333338,-10.0,3.795833333333332,0.0,1028.8,19.159
2016-01-04 12:00:00,0,12,-8.529166666666672,-11.1,3.583333333333332,0.0,1029.2,14.8274
2016-01-04 13:00:00,0,13,-8.78333333333334,-11.1,3.408333333333332,0.0,1029.4,12.9948
2016-01-04 14:00:00,0,14,-9.037500000000007,-11.7,3.2791666666666655,0.0,1029.7,16.3268
2016-01-04 15:00:00,0,15,-9.337500000000007,-12.2,3.129166666666666,0.0,1030.1,12.1618
2016-01-04 16:00:00,0,16,-9.500000000000007,-10.6,2.9374999999999987,0.0,1030.4,17.493
2016-01-04 17:00:00,0,17,-9.662500000000007,-8.9,2.7416666666666654,0.0,1030.7,13.6612
2016-01-04 18:00:00,0,18,-9.729166666666673,-6.7,2.6374999999999984,0.0,1031.3,15.4938
2016-01-04 19:00:00,0,19,-9.775000000000007,-5.0,2.595833333333332,0.0,1031.9,10.3292
2016-01-04 20:00:00,0,20,-9.79583333333334,-3.3,2.5749999999999984,0.0,1032.3,12.3284
2016-01-04 21:00:00,0,21,-9.841666666666674,-3.9,2.6374999999999984,0.0,1032.7,9.4962
2016-01-04 22:00:00,0,22,-9.912500000000007,-5.0,2.6791666666666654,0.0,1032.9,11.662
2016-01-04 23:00:00,0,23,-10.004166666666674,-6.7,2.720833333333332,0.0,1033.1,11.662
2016-01-05 00:00:00,1,0,-10.07083333333334,-7.2,2.7416666666666654,0.0,1033.6,11.662
2016-01-05 01:00:00,1,1,-10.116666666666672,-7.2,2.8291666666666657,0.0,1034.0,8.9964
2016-01-05 02:00:00,1,2,-10.162500000000007,-7.2,2.916666666666666,0.0,1034.5,10.3292
2016-01-05 03:00:00,1,3,-10.183333333333339,-7.2,2.983333333333333,0.0,1034.8,8.9964
2016-01-05 04:00:00,1,4,-10.15833333333334,-6.7,3.1125000000000003,0.0,1034.1,11.8286
