building_id,timestamp,meter,meter_reading,site_id,primary_use,square_feet,year_built,floor_count
1166,2016-01-01 00:00:00,0,50.102,13,Office,63771,,
1166,2016-01-01 01:00:00,0,50.102,13,Office,63771,,
1166,2016-01-01 02:00:00,0,50.114,13,Office,63771,,
1166,2016-01-01 03:00:00,0,49.894,13,Office,63771,,
1166,2016-01-01 04:00:00,0,49.601000000000006,13,Office,63771,,
1166,2016-01-01 05:00:00,0,49.475,13,Office,63771,,
1166,2016-01-01 06:00:00,0,48.95,13,Office,63771,,
1166,2016-01-01 07:00:00,0,49.1,13,Office,63771,,
1166,2016-01-01 08:00:00,0,49.21,13,Office,63771,,
1166,2016-01-01 09:00:00,0,47.441,13,Office,63771,,
1166,2016-01-01 10:00:00,0,46.45399999999999,13,Office,63771,,
1166,2016-01-01 11:00:00,0,47.265,13,Office,63771,,
1166,2016-01-01 12:00:00,0,52.105,13,Office,63771,,
1166,2016-01-01 13:00:00,0,53.402,13,Office,63771,,
1166,2016-01-01 14:00:00,0,52.978,13,Office,63771,,
1166,2016-01-01 15:00:00,0,52.974,13,Office,63771,,
1166,2016-01-01 16:00:00,0,47.128,13,Office,63771,,
1166,2016-01-01 17:00:00,0,47.231,13,Office,63771,,
1166,2016-01-01 18:00:00,0,53.643,13,Office,63771,,
1166,2016-01-01 19:00:00,0,51.545,13,Office,63771,,
1166,2016-01-01 20:00:00,0,52.209,13,Office,63771,,
1166,2016-01-01 21:00:00,0,52.309,13,Office,63771,,
1166,2016-01-01 22:00:00,0,50.654,13,Office,63771,,
1166,2016-01-01 23:00:00,0,48.828,13,Office,63771,,
1166,2016-01-02 00:00:00,0,48.773,13,Office,63771,,
1166,2016-01-02 01:00:00,0,51.40600000000001,13,Office,63771,,
1166,2016-01-02 02:00:00,0,52.607,13,Office,63771,,
1166,2016-01-02 03:00:00,0,48.38399999999999,13,Office,63771,,
1166,2016-01-02 04:00:00,0,48.732,13,Office,63771,,
1166,2016-01-02 05:00:00,0,49.249,13,Office,63771,,
1166,2016-01-02 06:00:00,0,48.457,13,Office,63771,,
1166,2016-01-02 07:00:00,0,55.582,13,Office,63771,,
1166,2016-01-02 08:00:00,0,58.897,13,Office,63771,,
1166,2016-01-02 09:00:00,0,57.438,13,Office,63771,,
1166,2016-01-02 10:00:00,0,56.4,13,Office,63771,,
1166,2016-01-02 11:00:00,0,55.90600000000001,13,Office,63771,,
1166,2016-01-02 12:00:00,0,56.492,13,Office,63771,,
1166,2016-01-02 13:00:00,0,56.456,13,Office,63771,,
1166,2016-01-02 14:00:00,0,56.572,13,Office,63771,,
1166,2016-01-02 15:00:00,0,44.584,13,Office,63771,,
1166,2016-01-02 16:00:00,0,42.466,13,Office,63771,,
1166,2016-01-02 17:00:00,0,45.769,13,Office,63771,,
1166,2016-01-02 18:00:00,0,49.462,13,Office,63771,,
1166,2016-01-02 19:00:00,0,50.055,13,Office,63771,,
1166,2016-01-02 20:00:00,0,50.264,13,Office,63771,,
1166,2016-01-02 21:00:00,0,49.175,13,Office,63771,,
1166,2016-01-02 22:00:00,0,49.13399999999999,13,Office,63771,,
1166,2016-01-02 23:00:00,0,49.756,13,Office,63771,,
1166,2016-01-03 00:00:00,0,49.148,13,Office,63771,,
1166,2016-01-03 01:00:00,0,49.268,13,Office,63771,,
1166,2016-01-03 02:00:00,0,49.58,13,Office,63771,,
1166,2016-01-03 03:00:00,0,49.727,13,Office,63771,,
1166,2016-01-03 04:00:00,0,49.24100000000001,13,Office,63771,,
1166,2016-01-03 05:00:00,0,49.878,13,Office,63771,,
1166,2016-01-03 06:00:00,0,49.853,13,Office,63771,,
1166,2016-01-03 07:00:00,0,49.75899999999999,13,Office,63771,,
1166,2016-01-03 08:00:00,0,49.605,13,Office,63771,,
1166,2016-01-03 09:00:00,0,43.478,13,Office,63771,,
1166,2016-01-03 10:00:00,0,41.893,13,Office,63771,,
1166,2016-01-03 11:00:00,0,42.429,13,Office,63771,,
1166,2016-01-03 12:00:00,0,42.219,13,Office,63771,,
1166,2016-01-03 13:00:00,0,45.257,13,Office,63771,,
1166,2016-01-03 14:00:00,0,46.437,13,Office,63771,,
1166,2016-01-03 15:00:00,0,46.885,13,Office,63771,,
1166,2016-01-03 16:00:00,0,47.924,13,Office,63771,,
1166,2016-01-03 17:00:00,0,46.283,13,Office,63771,,
1166,2016-01-03 18:00:00,0,49.989,13,Office,63771,,
1166,2016-01-03 19:00:00,0,50.292,13,Office,63771,,
1166,2016-01-03 20:00:00,0,48.812,13,Office,63771,,
1166,2016-01-03 21:00:00,0,49.519,13,Office,63771,,
1166,2016-01-03 22:00:00,0,49.45,13,Office,63771,,
1166,2016-01-03 23:00:00,0,49.158,13,Office,63771,,
1166,2016-01-04 00:00:00,0,49.747,13,Office,63771,,
1166,2016-01-04 01:00:00,0,49.145,13,Office,63771,,
1166,2016-01-04 02:00:00,0,49.029,13,Office,63771,,
1166,2016-01-04 03:00:00,0,48.545,13,Office,63771,,
1166,2016-01-04 04:00:00,0,48.419,13,Office,63771,,
1166,2016-01-04 05:00:00,0,49.065,13,Office,63771,,
1166,2016-01-04 06:00:00,0,49.12,13,Office,63771,,
1166,2016-01-04 07:00:00,0,56.268,13,Office,63771,,
1166,2016-01-04 08:00:00,0,67.447,13,Office,63771,,
1166,2016-01-04 09:00:00,0,67.065,13,Office,63771,,
1166,2016-01-04 10:00:00,0,71.998,13,Office,63771,,
1166,2016-01-04 11:00:00,0,76.438,13,Office,63771,,
1166,2016-01-04 12:00:00,0,75.95100000000002,13,Office,63771,,
1166,2016-01-04 13:00:00,0,76.71600000000002,13,Office,63771,,
1166,2016-01-04 14:00:00,0,69.557,13,Office,63771,,
1166,2016-01-04 15:00:00,0,69.611,13,Office,63771,,
1166,2016-01-04 16:00:00,0,69.471,13,Office,63771,,
1166,2016-01-04 17:00:00,0,67.92399999999999,13,Office,63771,,
1166,2016-01-04 18:00:00,0,68.241,13,Office,63771,,
1166,2016-01-04 19:00:00,0,65.499,13,Office,63771,,
1166,2016-01-04 20:00:00,0,59.304,13,Office,63771,,
1166,2016-01-04 21:00:00,0,50.261,13,Office,63771,,
1166,2016-01-04 22:00:00,0,49.047,13,Office,63771,,
1166,2016-01-04 23:00:00,0,48.597,13,Office,63771,,
1166,2016-01-05 00:00:00,0,47.92100000000001,13,Office,63771,,
1166,2016-01-05 01:00:00,0,48.048,13,Office,63771,,
1166,2016-01-05 02:00:00,0,48.149,13,Office,63771,,
1166,2016-01-05 03:00:00,0,47.57,13,Office,63771,,
1166,2016-01-05 04:00:00,0,48.415,13,Office,63771,,
1166,2016-01-05 05:00:00,0,49.03,13,Office,63771,,
1166,2016-01-05 06:00:00,0,49.13,13,Office,63771,,
1166,2016-01-05 07:00:00,0,55.32,13,Office,63771,,
1166,2016-01-05 08:00:00,0,67.44800000000001,13,Office,63771,,
1166,2016-01-05 09:00:00,0,65.857,13,Office,63771,,
1166,2016-01-05 10:00:00,0,69.168,13,Office,63771,,
1166,2016-01-05 11:00:00,0,74.612,13,Office,63771,,
1166,2016-01-05 12:00:00,0,75.105,13,Office,63771,,
1166,2016-01-05 13:00:00,0,75.86,13,Office,63771,,
1166,2016-01-05 14:00:00,0,70.91,13,Office,63771,,
1166,2016-01-05 15:00:00,0,68.967,13,Office,63771,,
1166,2016-01-05 16:00:00,0,65.07,13,Office,63771,,
1166,2016-01-05 17:00:00,0,66.877,13,Office,63771,,
1166,2016-01-05 18:00:00,0,64.74,13,Office,63771,,
1166,2016-01-05 19:00:00,0,58.471,13,Office,63771,,
1166,2016-01-05 20:00:00,0,51.853,13,Office,63771,,
1166,2016-01-05 21:00:00,0,51.619,13,Office,63771,,
1166,2016-01-05 22:00:00,0,50.854,13,Office,63771,,
1166,2016-01-05 23:00:00,0,48.602,13,Office,63771,,
1166,2016-01-06 00:00:00,0,47.925,13,Office,63771,,
1166,2016-01-06 01:00:00,0,48.26300000000001,13,Office,63771,,
1166,2016-01-06 02:00:00,0,48.39100000000001,13,Office,63771,,
